,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn
1606,Male,1,Yes,Yes,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,104.1,7447.7,0
3666,Female,0,Yes,Yes,50,Yes,No,No,No,No,Yes,No,Month-to-month,84.4,4116.15,1
4413,Female,1,No,No,17,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,89.15,1496.9,1
5538,Female,0,No,No,1,Yes,No,No,No,No,No,Yes,Month-to-month,81.1,81.1,1
5860,Female,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,70.0,153.05,1
4967,Female,0,No,No,3,Yes,No,No,No,Yes,Yes,No,Month-to-month,63.6,155.65,1
2990,Male,0,No,No,10,No,No,No,No,No,No,Yes,Month-to-month,33.9,298.45,1
1439,Female,1,No,No,5,Yes,No,No,Yes,No,No,No,Month-to-month,75.55,349.65,1
2270,Female,1,No,No,3,Yes,No,No,Yes,No,Yes,No,Month-to-month,86.85,220.95,1
2134,Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,20.15,0
1249,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.05,45.05,1
6871,Female,0,Yes,No,52,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,94.6,5025.8,0
1786,Female,0,No,No,38,Yes,No,Yes,Yes,Yes,No,No,Month-to-month,84.25,3264.5,1
1221,Male,0,No,No,9,No,No,No,No,No,No,No,Month-to-month,24.6,190.1,0
2297,Female,0,Yes,No,54,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,110.35,5893.15,1
1942,Male,0,No,No,46,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.2,908.15,0
5744,Male,1,Yes,No,40,Yes,No,No,No,No,No,Yes,One year,55.8,2283.3,0
5913,Female,0,No,No,26,Yes,Yes,No,Yes,Yes,No,No,One year,87.15,2274.1,0
4347,Female,0,No,No,50,Yes,No,Yes,No,Yes,Yes,Yes,Two year,100.2,5038.45,0
5063,Male,0,No,No,21,Yes,No,Yes,No,No,No,No,Month-to-month,82.35,1852.85,1
6231,Female,1,Yes,No,1,Yes,No,Yes,No,No,No,No,Month-to-month,76.4,76.4,1
5046,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.15,45.15,0
4665,Female,0,Yes,Yes,67,No,Yes,Yes,No,No,No,No,Two year,36.15,2434.45,0
1800,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,43.85,43.85,0
4974,Male,0,No,No,3,No,No,Yes,No,Yes,No,No,Month-to-month,36.85,108.7,1
1902,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,90.6,6441.85,0
1592,Female,0,Yes,Yes,42,Yes,No,No,No,No,Yes,No,Month-to-month,77.95,3384.0,1
6975,Female,0,Yes,Yes,24,Yes,Yes,Yes,Yes,No,No,No,Two year,64.35,1558.65,0
3687,Male,0,Yes,Yes,19,Yes,No,Yes,No,Yes,Yes,Yes,One year,100.0,1888.65,1
5956,Female,0,No,No,31,Yes,No,No,Yes,No,No,Yes,Month-to-month,89.9,2806.9,1
6327,Male,0,No,No,28,Yes,No,Yes,No,Yes,Yes,No,One year,91.25,2483.65,0
2053,Male,0,Yes,No,47,Yes,No,Yes,Yes,No,No,No,Month-to-month,83.35,4065.0,1
3245,Female,0,Yes,Yes,23,Yes,No,Yes,Yes,Yes,No,No,Month-to-month,83.8,1900.25,1
2378,Female,0,Yes,No,35,Yes,No,No,No,No,No,No,Month-to-month,70.3,2416.55,1
2858,Female,0,Yes,No,10,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.55,252.75,0
3748,Male,0,No,No,48,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,78.9,3771.5,0
4883,Male,1,No,No,8,No,No,No,Yes,No,No,No,Month-to-month,29.4,221.9,1
1883,Female,1,Yes,No,35,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,100.5,3653.35,1
3248,Male,1,Yes,No,10,Yes,No,No,No,No,No,Yes,Month-to-month,86.65,856.65,1
2868,Male,0,No,No,26,Yes,No,Yes,No,No,Yes,No,Month-to-month,85.75,2146.5,0
2152,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,50.1,50.1,0
6486,Female,0,Yes,No,5,Yes,No,No,Yes,Yes,Yes,No,Month-to-month,67.95,350.3,1
