indicator_id,indicator_name,country_code,country_name,year,value
38406,Multidimensional poverty index (MPI),CAF,Central African Republic,2008-2019,0.46486375
38506,"Population in multidimensional poverty, intensity of deprivation (%)",CAF,Central African Republic,2008-2019,58.57636333
38606,"Population in multidimensional poverty, headcount (%)",CAF,Central African Republic,2008-2019,79.36029434
101006,Population in severe multidimensional poverty (%),CAF,Central African Republic,2008-2019,54.7228992
102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",CAF,Central African Republic,2008-2019,3481.349616
117806,Contribution of deprivation in education to the Multidimensional Poverty Index,CAF,Central African Republic,2008-2019,25.73561072
117906,Contribution of deprivation in health to the Multidimensional Poverty Index,CAF,Central African Republic,2008-2019,27.79965401
118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,CAF,Central African Republic,2008-2019,46.46473825
136906,"Human Development Index (HDI), female",CAF,Central African Republic,2019,0.351229301
137006,"Human Development Index (HDI), male",CAF,Central African Republic,2019,0.438258714
167106,"Population living below income poverty line, PPP $1.90 a day (%)",CAF,Central African Republic,2008-2018,66.3
183206,"Overall loss in HDI value due to inequality, average annual change (%)",CAF,Central African Republic,2010/2019,-0.094748137
183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",CAF,Central African Republic,2008-2019,3703.248935
38406,Multidimensional poverty index (MPI),ECU,Ecuador,2008-2019,0.0182538
38506,"Population in multidimensional poverty, intensity of deprivation (%)",ECU,Ecuador,2008-2019,39.87866
38606,"Population in multidimensional poverty, headcount (%)",ECU,Ecuador,2008-2019,4.577325
101006,Population in severe multidimensional poverty (%),ECU,Ecuador,2008-2019,0.7979223
102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",ECU,Ecuador,2008-2019,730.1671941
117806,Contribution of deprivation in education to the Multidimensional Poverty Index,ECU,Ecuador,2008-2019,23.644682
117906,Contribution of deprivation in health to the Multidimensional Poverty Index,ECU,Ecuador,2008-2019,40.4352
118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,ECU,Ecuador,2008-2019,35.920125
136906,"Human Development Index (HDI), female",ECU,Ecuador,2019,0.742928666
137006,"Human Development Index (HDI), male",ECU,Ecuador,2019,0.767990043
167106,"Population living below income poverty line, PPP $1.90 a day (%)",ECU,Ecuador,2008-2018,3.3
183206,"Overall loss in HDI value due to inequality, average annual change (%)",ECU,Ecuador,2010/2019,-0.797246322
183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",ECU,Ecuador,2008-2019,782.0066356
38406,Multidimensional poverty index (MPI),EGY,Egypt,2008-2019,0.01942496
38506,"Population in multidimensional poverty, intensity of deprivation (%)",EGY,Egypt,2008-2019,37.61300743
38606,"Population in multidimensional poverty, headcount (%)",EGY,Egypt,2008-2019,5.16442657
101006,Population in severe multidimensional poverty (%),EGY,Egypt,2008-2019,0.57906071
102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",EGY,Egypt,2008-2019,4669.91558
117806,Contribution of deprivation in education to the Multidimensional Poverty Index,EGY,Egypt,2008-2019,53.18067074
117906,Contribution of deprivation in health to the Multidimensional Poverty Index,EGY,Egypt,2008-2019,39.84304965
118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,EGY,Egypt,2008-2019,6.97628409
136906,"Human Development Index (HDI), female",EGY,Egypt,2019,0.652050925
137006,"Human Development Index (HDI), male",EGY,Egypt,2019,0.739007559
167106,"Population living below income poverty line, PPP $1.90 a day (%)",EGY,Egypt,2008-2018,3.2
183206,"Overall loss in HDI value due to inequality, average annual change (%)",EGY,Egypt,2010/2019,0.841625036
183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",EGY,Egypt,2008-2019,5083.014653
38406,Multidimensional poverty index (MPI),IND,India,2008-2019,0.12265247
38506,"Population in multidimensional poverty, intensity of deprivation (%)",IND,India,2008-2019,43.94929409
38606,"Population in multidimensional poverty, headcount (%)",IND,India,2008-2019,27.90772319
101006,Population in severe multidimensional poverty (%),IND,India,2008-2019,8.77306014
102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",IND,India,2008-2019,369642.6077
117806,Contribution of deprivation in education to the Multidimensional Poverty Index,IND,India,2008-2019,23.38272631
117906,Contribution of deprivation in health to the Multidimensional Poverty Index,IND,India,2008-2019,31.85433745
