indicator_id,indicator_name,country_code,country_name,year,value
38406,Multidimensional poverty index (MPI),CAF,Central African Republic,2008-2019,0.46486375
38506,"Population in multidimensional poverty, intensity of deprivation (%)",CAF,Central African Republic,2008-2019,58.57636333
38606,"Population in multidimensional poverty, headcount (%)",CAF,Central African Republic,2008-2019,79.36029434
39006,"Population living below income poverty line, national poverty line (%)",CAF,Central African Republic,2008-2019,62.0
46006,Mobile phone subscriptions (per 100 people),CAF,Central African Republic,2018,27.6743
46106,Primary school dropout rate (% of primary school cohort),CAF,Central African Republic,2008-2018,53.44371
57806,"Mortality rate, female adult (per 1,000 people)",CAF,Central African Republic,2014-2018,371.323
57906,"Mortality rate, male adult (per 1,000 people)",CAF,Central African Republic,2014-2018,452.968
63206,"Gross enrolment ratio, primary (% of primary school-age population)",CAF,Central African Republic,2014-2019,102.0189
63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",CAF,Central African Republic,2014-2019,17.13538
67106,"Income inequality, Gini coefficient",CAF,Central African Republic,2010-2018,56.2
101006,Population in severe multidimensional poverty (%),CAF,Central African Republic,2008-2019,54.7228992
101406,"Literacy rate, adult (% ages 15 and older)",CAF,Central African Republic,2008-2018,37.39582
102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",CAF,Central African Republic,2008-2019,3481.349616
117806,Contribution of deprivation in education to the Multidimensional Poverty Index,CAF,Central African Republic,2008-2019,25.73561072
117906,Contribution of deprivation in health to the Multidimensional Poverty Index,CAF,Central African Republic,2008-2019,27.79965401
118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,CAF,Central African Republic,2008-2019,46.46473825
123506,"Estimated gross national income per capita, female (2017 PPP $)",CAF,Central African Republic,2019,792.2442337
123606,"Estimated gross national income per capita, male (2017 PPP $)",CAF,Central African Republic,2019,1197.293102
133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",CAF,Central African Republic,2014-2019,2.92555
135106,"Income inequality, quintile ratio",CAF,Central African Republic,2010-2017,18.45455
136906,"Human Development Index (HDI), female",CAF,Central African Republic,2019,0.351229301
137006,"Human Development Index (HDI), male",CAF,Central African Republic,2019,0.438258714
142506,Population vulnerable to multidimensional poverty (%),CAF,Central African Republic,2008-2019,13.12189996
167106,"Population living below income poverty line, PPP $1.90 a day (%)",CAF,Central African Republic,2008-2018,66.3
178306,Gross capital formation (% of GDP),CAF,Central African Republic,2015-2019,23.15599
181106,Birth registration (% under age 5),CAF,Central African Republic,2009-2019,61.0
183206,"Overall loss in HDI value due to inequality, average annual change (%)",CAF,Central African Republic,2010/2019,-0.094748137
183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",CAF,Central African Republic,2008-2019,3703.248935
186106,Income share held by richest 1%,CAF,Central African Republic,2010-2019,30.860001
186806,Average annual change in the share of bottom 40 percent (%),CAF,Central African Republic,2005/2018,-6.739685908
186906,Income share held by poorest 40%,CAF,Central African Republic,2010-2018,10.3
187006,Income share held by richest 10 %,CAF,Central African Republic,2010-2018,46.2
38406,Multidimensional poverty index (MPI),ECU,Ecuador,2008-2019,0.0182538
38506,"Population in multidimensional poverty, intensity of deprivation (%)",ECU,Ecuador,2008-2019,39.87866
38606,"Population in multidimensional poverty, headcount (%)",ECU,Ecuador,2008-2019,4.577325
39006,"Population living below income poverty line, national poverty line (%)",ECU,Ecuador,2008-2019,25.0
46006,Mobile phone subscriptions (per 100 people),ECU,Ecuador,2018,92.3233
46106,Primary school dropout rate (% of primary school cohort),ECU,Ecuador,2008-2018,1.35746
57806,"Mortality rate, female adult (per 1,000 people)",ECU,Ecuador,2014-2018,88.072
57906,"Mortality rate, male adult (per 1,000 people)",ECU,Ecuador,2014-2018,161.14
63206,"Gross enrolment ratio, primary (% of primary school-age population)",ECU,Ecuador,2014-2019,103.26795
63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",ECU,Ecuador,2014-2019,101.43565
63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",ECU,Ecuador,2014-2019,44.89223
67106,"Income inequality, Gini coefficient",ECU,Ecuador,2010-2018,45.4
101006,Population in severe multidimensional poverty (%),ECU,Ecuador,2008-2019,0.7979223
101406,"Literacy rate, adult (% ages 15 and older)",ECU,Ecuador,2008-2018,92.82979
