,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,country,employment_gap,mobilemoney_access_gap
0,530.0,28.3,2.2,4.3,27.0,4.6488571428571435,42.3,27.6,97.7,9.8,8.3,,34.357445715,64.477,Afghanistan,12.100000000000001,15.3
1,5220.0,11.8,13.1,22.6,36.0,1.6365714285714286,98.4,70.7,99.9,2.2,62.4,0.5000000000000001,97.41114044333334,78.4488,Albania,-3.6999999999999957,3.8999999999999986
2,4010.0,3.8,,,8.0,3.016428571428571,99.6,72.4,99.6,1.4,47.7,0.4,81.40783691,76.6866,Algeria,-8.099999999999994,26.999999999999996
3,,,,,,,,98.4,,7.2,,,,,American Samoa,,
4,,,,,46.0,,100.0,90.6,100.0,0.0,91.6,,,,Andorra,,
5,2960.0,30.3,,18.2,30.0,5.608,25.0,,43.0,4.8,32.0,49.9,66.03011322,60.74400000000001,Angola,17.6,
6,16600.0,,,,11.0,1.9949999999999999,,,100.0,11.1,73.0,,98.94999695,76.88320000000002,Antigua and Barbuda,,
7,11130.0,,57.8,32.6,45.0,2.2738571428571426,99.6,,100.0,6.6,74.3,1.1666666666666667,99.09117671285715,76.51859999999999,Argentina,-5.3999999999999915,-4.299999999999997
8,4680.0,5.3,24.4,,34.0,1.748142857142857,98.7,86.9,99.7,2.6,64.7,1.17,99.75636291666666,74.9386,Armenia,-8.200000000000003,14.899999999999999
9,26810.0,,,,,1.8777142857142854,,,100.0,1.9,97.2,,97.80741882,76.1514,Aruba,,
10,55100.0,,,,31.0,1.7301428571428572,100.0,,100.0,1.0,86.5,0.5,,82.759512196,Australia,-8.0,0.7000000000000028
11,51460.0,,,29.2,40.0,1.4814285714285713,100.0,98.9,100.0,0.5,87.9,0.4888888888888888,,81.61317073199999,Austria,-5.0,-0.5
12,4480.0,,4.0,,18.0,1.8285714285714287,,88.3,100.0,2.3,79.0,,99.78726101000001,72.83559999999999,Azerbaijan,9.599999999999998,1.6999999999999993
