,Unnamed: 0,country,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,employment_gap,mobilemoney_access_gap,cluster
0,0,Afghanistan,530.0,28.3,2.2,4.3,27.0,4.648857142857144,42.3,27.6,97.7,9.8,8.3,2.2625,34.357445715,64.477,12.1,15.3,1
1,1,Albania,5220.0,11.8,13.1,22.6,36.0,1.6365714285714286,98.4,70.7,99.9,2.2,62.4,0.5000000000000001,97.41114044333334,78.4488,-3.699999999999996,3.899999999999999,0
2,2,Algeria,4010.0,3.8,34.9,30.3,8.0,3.016428571428571,99.6,72.4,99.6,1.4,47.7,0.4,81.40783691,76.6866,-8.099999999999994,27.0,0
3,3,American Samoa,6090.0,21.35,34.9,30.3,24.0,2.210857142857143,96.8,98.4,99.9,7.2,59.400000000000006,2.2625,92.97438939499999,74.197036586,0.0,5.700000000000003,0
4,4,Andorra,6090.0,21.35,34.9,30.3,46.0,2.210857142857143,100.0,90.6,100.0,0.0,91.6,2.2625,92.97438939499999,74.197036586,0.0,5.700000000000003,0
5,5,Angola,2960.0,30.3,34.9,18.2,30.0,5.608,25.0,88.95,43.0,4.8,32.0,49.9,66.03011322,60.74400000000001,17.6,5.700000000000003,1
6,6,Antigua and Barbuda,16600.0,21.35,34.9,30.3,11.0,1.995,96.8,88.95,100.0,11.1,73.0,2.2625,98.94999695,76.88320000000002,0.0,5.700000000000003,0
7,7,Argentina,11130.0,21.35,57.8,32.6,45.0,2.2738571428571426,99.6,88.95,100.0,6.6,74.3,1.1666666666666667,99.09117671285716,76.51859999999999,-5.399999999999992,-4.299999999999997,0
8,8,Armenia,4680.0,5.3,24.4,30.3,34.0,1.748142857142857,98.7,86.9,99.7,2.6,64.7,1.17,99.75636291666666,74.9386,-8.200000000000003,14.9,0
9,9,Aruba,26810.0,21.35,34.9,30.3,24.0,1.8777142857142852,96.8,88.95,100.0,1.9,97.2,2.2625,97.80741882,76.1514,0.0,5.700000000000003,0
10,10,Australia,55100.0,21.35,34.9,30.3,31.0,1.7301428571428572,100.0,88.95,100.0,1.0,86.5,0.5,92.97438939499999,82.759512196,-8.0,0.7000000000000028,0
11,11,Austria,51460.0,21.35,34.9,29.2,40.0,1.481428571428571,100.0,98.9,100.0,0.5,87.9,0.4888888888888888,92.97438939499999,81.61317073199999,-5.0,-0.5,0
12,12,Azerbaijan,4480.0,21.35,4.0,30.3,18.0,1.8285714285714287,96.8,88.3,100.0,2.3,79.0,2.2625,99.78726101,72.83559999999999,9.599999999999998,1.6999999999999993,0
13,13,Bahamas The,33460.0,21.35,34.9,30.3,18.0,1.7624285714285717,96.8,88.95,100.0,39.0,85.0,2.2625,92.97438939499999,73.7212,-16.0,5.700000000000003,0
14,14,Bahrain,22110.0,21.35,34.9,30.3,15.0,2.01,100.0,99.0,100.0,0.5,95.9,2.2625,92.97438939499999,77.16099999999999,0.4000000000000057,10.899999999999991,0
15,15,Bangladesh,1940.0,51.4,12.7,11.5,21.0,2.0654285714285714,34.6,58.5,88.0,2.6,10.3,14.3,67.303334809,72.3232,9.6,28.8,1
16,16,Barbados,17380.0,21.35,34.9,30.3,20.0,1.618857142857143,98.7,88.95,100.0,10.9,81.8,2.2625,99.59999847,79.08959999999999,-9.900000000000006,5.700000000000003,0
