country,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.834,1.854,1.872,1.886,1.896,1.901,1.901,
Africa Eastern and Southern,AFE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.726220442,4.64763738,4.569674667,4.493744221,4.420263916,4.34943582,4.281855763,
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.163,4.976,4.8,4.633,4.473,4.321,4.176,
Africa Western and Central,AFW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.384335894,5.319473417,5.25167419,5.182391075,5.113002617,5.044144414,4.976545927,
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.864,5.774,5.686,5.6,5.519,5.442,5.371,
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.688,1.677,1.659,1.638,1.617,1.597,1.58,
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,,,,,,,,
Arab World,ARB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.402070429,3.365221112,3.322437279,3.276487463,3.231001101,3.187157135,3.1457567,
United Arab Emirates,ARE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.595,1.541,1.491,1.448,1.413,1.387,1.369,
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.312,2.301,2.288,2.275,2.261,2.247,2.233,
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.732,1.738,1.744,1.75,1.755,1.758,1.76,
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,,,,,,,,
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.001,2.003,2.003,1.999,1.994,1.987,1.978,
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.826,1.814,1.752,1.741,1.74,1.657,1.581,
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.46,1.49,1.53,1.52,1.47,1.46,1.44,
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.97,1.94,1.9,1.75,1.73,1.81,1.7,
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.797,5.697,5.599,5.502,5.41,5.321,5.237,
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.74,1.7,1.68,1.65,1.62,1.6,1.55,
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.116,5.047,4.977,4.906,4.836,4.767,4.7,
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.521,5.436,5.353,5.271,5.189,5.109,5.029,
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.152,2.12,2.09,2.062,2.036,2.011,1.987,
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.53,1.53,1.54,1.56,1.56,1.58,1.56,
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.078,2.056,2.033,2.01,1.987,1.964,1.942,
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.794,1.782,1.771,1.762,1.752,1.743,1.733,
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.303,1.296,1.286,1.276,1.265,1.254,1.243,
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.696,1.724,1.733,1.541,1.448,1.382,1.382,
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.489,2.439,2.391,2.346,2.307,2.274,2.246,
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4,1.4,1.4,1.4,1.3,1.3,1.3,
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.947,2.886,2.829,2.777,2.73,2.688,2.651,
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.758,1.753,1.747,1.739,1.73,1.719,1.706,
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.62,1.614,1.613,1.615,1.619,1.623,1.628,
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.969,1.947,1.915,1.881,1.848,1.819,1.796,
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.067,2.037,2.014,1.994,1.975,1.954,1.931,
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.988,2.968,2.942,2.91,2.874,2.836,2.796,
Central African Republic,CAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.007,4.941,4.87,4.796,4.721,4.645,4.568,
Canada,CAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.61,1.6,1.59,1.54,1.5,1.47,1.4,
Central Europe and the Baltics,CEB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.443181764,1.462370024,1.52216388,1.567830318,1.574422749,1.571016679,1.510892545,
Switzerland,CHE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.54,1.54,1.54,1.52,1.52,1.48,1.46,
Channel Islands,CHI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.556,1.541,1.527,1.516,1.51,1.509,1.512,
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.787,1.75,1.713,1.678,1.649,1.627,1.611,
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.656,1.665,1.675,1.683,1.69,1.696,1.7,
Cote d'Ivoire,CIV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.867,4.813,4.759,4.704,4.649,4.593,4.536,
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.847,4.777,4.708,4.639,4.572,4.506,4.443,
"Congo, Dem. Rep.",COD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.287,6.203,6.112,6.017,5.919,5.819,5.718,
"Congo, Rep.",COG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.634,4.587,4.536,4.482,4.428,4.374,4.321,
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.883,1.863,1.843,1.825,1.807,1.789,1.771,
Comoros,COM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.491,4.419,4.347,4.275,4.205,4.138,4.073,
Cabo Verde,CPV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.425,2.385,2.346,2.309,2.274,2.242,2.213,
Costa Rica,CRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.823,1.806,1.789,1.772,1.754,1.737,1.721,
Caribbean small states,CSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.064268347,2.045249014,2.027645026,2.010754406,1.995134386,1.979904065,1.96481414,
Cuba,CUB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.686,1.674,1.656,1.637,1.618,1.602,1.59,
Curacao,CUW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2,1.9,1.7,1.5,1.7,1.6,1.6,
Cayman Islands,CYM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,,,,,,,,
