country,lifeEx_m,lifeEx_f,married_by_18,mobile_money_m,mobile_money_m,employment_m,eomployment_f,firm_f_ownership,share_senior_f,parlia_w
Afghanistan,63.7,66.7,28.3,22.5,7.2,20.3,8.2,2.2,4.3,27
Albania,77.2,80.3,11.8,42,38.1,44.2,47.9,13.1,22.6,36
Algeria,75.9,78.3,3.8,56.3,29.3,66.4,74.5,..,..,8
American Samoa,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,46
Angola,58.7,64.4,30.3,..,..,30.3,12.7,..,18.2,30
Antigua and Barbuda,76,78.2,..,..,..,..,..,..,..,11
Argentina,73.4,80.1,..,46.5,50.8,71.2,76.6,57.8,32.6,45
Armenia,71.5,78.7,5.3,55.8,40.9,62.3,70.5,24.4,..,34
Aruba,73.9,78.8,..,..,..,..,..,..,..,..
Australia,81.2,85.3,..,99.9,99.2,79.7,87.7,..,..,31
Austria,78.9,83.6,..,97.9,98.4,85.5,90.5,..,29.2,40
Azerbaijan,70.6,75.6,..,29.4,27.7,36.8,27.2,4,..,18
"Bahamas, The",71.8,76.2,..,..,..,77.2,93.2,..,..,18
Bahrain,76.6,78.6,..,86.3,75.4,97.4,97,..,..,15
Bangladesh,71.1,74.9,51.4,64.6,35.8,43.6,34,12.7,11.5,21
Barbados,78,80.6,..,..,..,77.8,87.7,..,..,20
Belarus,69.3,79.4,4.7,80.9,81.3,94.2,97.2,45.5,..,40
Belgium,78.6,83.1,..,98.4,98.8,82.7,89.3,..,32.9,42
Belize,71.8,78,33.5,..,..,65.5,66.5,..,41.7,13
Benin,60.5,63.6,30.6,48.6,28.6,17.5,6.2,36.7,..,8
Bermuda,78.3,86,..,..,..,..,..,..,..,..
Bhutan,71.7,72.5,..,..,..,35.4,16.8,43.3,..,17
Bolivia,68.9,74.8,19.7,55,53.9,34.2,28.6,68.6,26.8,46
Bosnia and Herzegovina,75,80,..,63.2,54.7,75.8,74,22.8,18.8,26
Botswana,66.7,72.6,..,56.2,46.8,77.5,74.6,..,..,11
Brazil,72.5,79.7,..,72.8,67.5,62.8,72.5,..,38.4,15
British Virgin Islands,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,74.9,77.3,..,..,..,92.2,89.3,..,37,9
Bulgaria,69.9,77.5,..,70.6,73.6,86.8,91.9,41.5,39.3,24
Burkina Faso,61.1,62.7,..,51.3,34.5,16.7,11.3,..,..,6
Burundi,60.1,63.7,19,..,..,19.2,9.6,44,..,38
Cabo Verde,69.7,76.4,..,..,..,70.3,65.5,..,..,39
Cambodia,67.7,72.2,18.5,21.8,21.5,58.7,46.8,46.2,20.1,22
Cameroon,58.4,60.9,29.8,39.2,30,33.3,16.8,39.7,..,34
Canada,79.7,83.9,..,99.6,99.9,81.8,88.1,..,..,30
Cayman Islands,..,..,..,..,..,..,..,..,..,..
Central African Republic,51.5,55.9,61,18.1,9.7,9.9,3.2,53.3,..,13
Chad,53.1,55.9,60.6,29,14.9,12.7,1,13.1,..,32
Channel Islands,81.4,85,..,..,..,85.3,85.3,..,..,..
Chile,78,82.5,..,77.8,71.3,71.8,74.2,..,..,35
China,75,79.4,..,84,76.4,56.3,54.2,64.2,..,25
"Hong Kong SAR, China",82.9,88,..,96,94.7,88.4,94.8,..,..,..
"Macao SAR, China",81.4,87.3,..,..,..,90.9,96.4,..,..,..
Colombia,74.7,80.2,23.4,49.4,42.5,49.7,51.5,66.9,..,19
Comoros,62.8,66.3,..,..,..,48.9,31.2,..,..,17
"Congo, Dem. Rep.",59.4,62.5,29.1,27.4,24.2,30,10.5,15.1,..,13
"Congo, Rep.",63.3,66.3,27.3,31.2,21,33.8,8.8,..,..,11
Costa Rica,78,83,17.1,75.5,60.9,71.6,76.4,..,..,46
Cote d'Ivoire,56.9,59.5,27,46.6,35.6,36.3,18.9,24.4,22.2,14
Croatia,74.7,80.9,..,89.8,82.7,84.9,90.8,36.3,27.9,31
Cuba,76.9,80.9,29.4,..,..,62.8,87.4,..,..,53
Curacao,..,..,..,..,..,..,..,..,..,..
Cyprus,79.1,83.2,..,87.3,90,83.7,89.5,..,27,14
Czech Republic,75.3,81.3,..,83.6,78.6,79.6,87.7,30.4,24.1,25
Denmark,79.6,83.6,..,99.8,100,89,94.6,..,27,40
Djibouti,65.5,69.8,..,..,..,70.4,58.1,22.3,..,26
Dominica,..,..,..,..,..,..,..,..,..,34
Dominican Republic,71.2,77.5,35.9,58.4,54.1,50.4,70.6,32.2,50.5,28
Ecuador,74.5,80,22.2,60.2,42.6,54.8,39.9,70.4,35.2,39
"Egypt, Arab Rep.",69.9,74.5,17.4,38.7,27,69.8,68.6,17.8,..,28
El Salvador,68.7,78,25.5,37.6,24.4,66.8,52.6,38.4,32.7,27
Equatorial Guinea,58.1,60.3,..,..,..,11.6,11.6,..,..,23
Eritrea,64.5,68.9,..,..,..,13.8,13.8,..,..,22
Estonia,74.2,82.7,..,97.5,98.4,85.4,92.9,38.3,34.3,26
Eswatini,56.5,65.4,5.3,..,..,70.4,58.8,36,54.6,10
Ethiopia,65,68.9,40.3,40.9,29.1,18,13.4,36.2,21.1,43
Faroe Islands,80.8,85.5,..,..,..,..,..,..,..,..
Fiji,65.8,69.5,..,..,..,60.3,51.3,..,38.6,22
