country,2016,2017,2018,2019,2020
Aruba,75.868,76.01,76.152,76.293,76.434
Africa Eastern and Southern,62.78768149,63.24626353,63.64898804,64.00521262,64.32570223
Afghanistan,63.763,64.13,64.486,64.833,65.173
Africa Western and Central,56.97476115,57.3823627,57.76234679,58.11572272,58.44595273
Angola,59.925,60.379,60.782,61.147,61.487
Albania,78.194,78.333,78.458,78.573,78.686
Andorra,,,,,
Arab World,71.43654717,71.62267043,71.80707511,71.98970937,72.17075988
United Arab Emirates,77.47,77.647,77.814,77.972,78.12
Argentina,76.221,76.372,76.52,76.667,76.813
Armenia,74.64,74.797,74.945,75.087,75.224
American Samoa,,,,,
Antigua and Barbuda,76.617,76.752,76.885,77.016,77.146
Australia,82.44878049,82.5,82.74878049,82.9,83.2
Austria,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293
Azerbaijan,72.493,72.693,72.864,73.005,73.123
Burundi,60.528,60.898,61.247,61.584,61.916
Belgium,81.43902439,81.49268293,81.59512195,81.99512195,80.79512195
Benin,60.885,61.174,61.47,61.771,62.077
Burkina Faso,60.354,60.768,61.174,61.577,61.981
Bangladesh,71.785,72.052,72.32,72.591,72.868
Bulgaria,74.81219512,74.81463415,74.96341463,75.11219512,73.60731707
Bahrain,76.899,77.032,77.163,77.292,77.419
"Bahamas, The",73.329,73.554,73.752,73.918,74.053
Bosnia and Herzegovina,76.998,77.128,77.262,77.401,77.545
Belarus,73.82682927,74.12926829,74.17560976,74.22682927,74.22682927
Belize,74.219,74.365,74.496,74.623,74.754
Bermuda,81.22707317,81.44195122,81.65170732,81.86658537,82.05609756
Bolivia,70.626,70.945,71.239,71.513,71.771
Brazil,75.23,75.456,75.672,75.881,76.084
Barbados,78.888,78.981,79.081,79.19,79.308
Brunei Darussalam,75.45,75.585,75.722,75.86,75.998
Bhutan,70.781,71.129,71.46,71.777,72.08
Botswana,68.178,68.812,69.275,69.592,69.793
Central African Republic,51.593,52.24,52.805,53.283,53.679
Canada,81.9,81.9,82.04878049,82.04878049,81.74878049
Central Europe and the Baltics,76.96981142,76.94744264,76.97682268,77.26684409,76.1441688
Switzerland,83.60243902,83.55121951,83.75365854,83.90487805,83.1
Channel Islands,82.6,82.766,82.928,83.086,83.24
Chile,79.779,79.909,80.042,80.181,80.329
China,76.21,76.47,76.704,76.912,77.097
Cote d'Ivoire,56.567,57.017,57.422,57.783,58.104
Cameroon,58.063,58.511,58.921,59.292,59.626
"Congo, Dem. Rep.",59.655,60.026,60.368,60.681,60.971
"Congo, Rep.",63.556,63.954,64.29,64.57,64.804
Colombia,76.732,76.925,77.109,77.287,77.46
Comoros,63.7,63.912,64.118,64.321,64.525
Cabo Verde,72.347,72.57,72.782,72.981,73.166
Costa Rica,79.738,79.914,80.095,80.279,80.465
