country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,97.80741882,,,
Africa Eastern and Southern,,,,,,,,,,,
Afghanistan,31.44885063,,,,,,,,,,37.2660408
Africa Western and Central,,,,,,,,,,,
Angola,,,,66.03011322,,,,,,,
Albania,96.84529877,97.24697113,,,,,,98.14115143,,,
Andorra,,,,,,,,,,,
Arab World,71.06060791,74.43569183,74.0435791,75.71389008,73.49938965,74.84079742,75.76682281,72.86908722,73.11425018,73.36776733,
United Arab Emirates,,,,,,,,,97.55692291,,
Argentina,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,,99.0038681,,,
Armenia,99.74440765,,,,,,99.73606873,,,99.78861237,
American Samoa,,,,,,,,,,,
Antigua and Barbuda,98.94999695,,,,98.94999695,,,,,,
Australia,,,,,,,,,,,
Austria,,,,,,,,,,,
Azerbaijan,99.77863312,99.77577209,99.78936005,99.78898621,99.78806305,99.79006195,99.79122925,,99.79598236,,
Burundi,,,,61.51348877,,,68.37532806,,,,
Belgium,,,,,,,,,,,
Benin,,32.94881821,,,,,,42.36240005,,,
Burkina Faso,,,,34.59939957,,,,39.3458519,,,
Bangladesh,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,74.9088974,
Bulgaria,98.35244751,,,,,,,,,,
Bahrain,,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,
Bosnia and Herzegovina,98.14203644,,96.99176788,,,,,,,,
Belarus,,,,,,,,,99.87400055,,
Belize,,,,,,,,,,,
Bermuda,,,,,,,,,,,
Bolivia,92.22615051,94.46057129,,,92.45507813,,,,,,
Brazil,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,,,
Barbados,,,,99.59999847,,,,,,,
Brunei Darussalam,96.08556366,,,,,,,97.21411133,,,
Bhutan,,55.31755829,,,,,66.5611496,,,,
Botswana,,,86.82318115,,,,,,,,
Central African Republic,,,,,,,,37.39582062,,,
Canada,,,,,,,,,,,
Central Europe and the Baltics,98.93424988,98.94538879,98.95433807,98.96629333,98.9777298,98.99102783,,,,,
Switzerland,,,,,,,,,,,
Channel Islands,,,,,,,,,,,
Chile,96.70301056,,96.26705933,,96.87413025,,96.40228271,,,,
China,,,,,,,,96.84088898,,,
Cote d'Ivoire,,40.98162842,,43.90842056,,,,,89.89341736,,
Cameroon,,,,,,,,77.07103729,,,
"Congo, Dem. Rep.",,75.01718903,,,,77.04267883,,,,,
"Congo, Rep.",79.31117249,,,,,,,80.29875946,,,
Colombia,93.58052826,,,94.18624878,94.24504852,94.65384674,,95.09250641,95.24926758,95.63632965,
Comoros,,49.19614029,,,,,,58.81702042,,,
Cabo Verde,,85.32778931,,,86.79029083,,,,,,
Costa Rica,97.40657806,,,,,,,97.86379242,,,
Caribbean small states,91.08869171,91.10729218,91.1765213,91.34947968,91.44355774,,,,,,
Cuba,,99.75253296,,,,,,,,,
Curacao,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,
Cyprus,98.67842865,,,,,,,,,,
Czech Republic,,,,,,,,,,,
Germany,,,,,,,,,,,
Djibouti,,,,,,,,,,,
Dominica,,,,,,,,,,,
Denmark,,,,,,,,,,,
Dominican Republic,90.10637665,90.15518188,90.85814667,91.76376343,91.99121094,93.77845764,,,,,
Algeria,,,,,,,,81.40783691,,,
East Asia & Pacific (excluding high income),94.45590973,94.67794037,94.77902222,95.19567108,95.40923309,95.53955078,95.72928619,95.87911987,96.0267868,96.17314911,
Early-demographic dividend,75.28800201,75.91931915,76.42189789,77.23737335,77.95578003,78.57810211,79.01699829,79.35413361,79.84098816,80.30725861,
East Asia & Pacific,94.07524109,94.31336212,94.42037201,94.91773224,95.13826752,95.275383,95.47142792,95.62532043,95.7740097,95.91979218,
Europe & Central Asia (excluding high income),98.63468933,98.76821899,98.81671906,98.84980774,98.87846375,98.99887848,98.97245789,99.00773621,99.04348755,99.07746887,
Europe & Central Asia,97.89367676,97.99822235,98.06864166,98.11634827,98.16487122,98.25479126,98.27191925,98.33351898,98.37896729,98.42828369,
Ecuador,91.5868988,92.06472778,93.29463196,94.22264099,94.45565796,94.35022736,92.82978821,,,93.62609863,
"Egypt, Arab Rep.",,73.86559296,72.44249725,,,,71.16825104,,,,
Euro area,,,,,,,,,,,
Eritrea,,,,,,,,76.57051849,,,
Spain,97.78375244,97.89453888,98.07913208,98.09371948,98.14325714,98.25051117,,98.43650055,,98.59445953,
Estonia,99.88578796,,,,,,,,,,
Ethiopia,,,,,,,51.7711792,,,,
European Union,,,,,,,,,,,
Fragile and conflict affected situations,60.10028076,62.01156998,62.43822861,63.40736008,62.14889145,64.27200317,65.00601959,63.49599075,63.74937057,63.98188019,
Finland,,,,,,,,,,,
Fiji,,,,,,,,,,,
France,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,
Gabon,,82.28379822,,,,,,84.66716003,,,
United Kingdom,,,,,,,,,,,
Georgia,,,,99.58618927,,,99.36425781,,99.55844116,,
Ghana,,,,,,,,79.03964233,,,
Gibraltar,,,,,,,,,,,
Guinea,,,,32.0038414,,,,39.6176796,,,
"Gambia, The",,,41.95005035,,50.77796936,,,,,,
Guinea-Bissau,,,,45.5811615,,,,,,,
Equatorial Guinea,,,,,,,,,,,
Greece,97.36873627,,,,,,,97.93595123,,,
Grenada,,,,98.59999847,,,,,,,
Greenland,,,,,,,,,,,
Guatemala,,78.26486206,77.0386734,81.2858963,,,,80.81067657,,,
Guam,,,,,,,,,,,
Guyana,,,,85.63973236,,,,,,,
High income,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,
Honduras,85.12329865,85.35555267,85.4644165,87.19753265,87.90682983,88.98748016,,87.20523834,88.50743103,,
Heavily indebted poor countries (HIPC),56.10511017,57.33340073,58.3261795,59.1648407,59.64675903,60.4588089,61.38893127,61.88288879,62.5051918,63.05041122,
Croatia,99.12535858,,,,,,,,,,
Haiti,,,,,,61.69134903,,,,,
Hungary,,,,99.09999847,,,,,,,
IBRD only,87.19532776,87.69956207,87.86956024,88.34095764,88.45137787,88.81774902,89.0443573,89.06654358,89.36553192,89.62664032,
IDA & IBRD total,81.8302002,82.35736084,82.59467316,83.07061005,83.28063965,83.81558228,84.09641266,84.12513733,84.4069519,84.65379333,
IDA total,60.14294052,61.03731918,61.81953049,62.59421921,63.47595978,64.92926788,65.69051361,66.02430725,66.52632904,67.00737,
IDA blend,62.47045898,63.87630844,63.7358284,64.59924316,65.02774048,65.72805786,66.58383179,66.5693512,66.98145294,67.39232635,
Indonesia,92.81191254,,,95.11621857,95.21793365,95.37696838,,95.65856171,,95.99900818,
IDA only,58.6186409,59.26576996,60.53036118,61.27156067,62.39786911,64.25295258,64.97927856,65.49887085,66.05657196,66.58264923,
Isle of Man,,,,,,,,,,,
India,69.3025589,,,,,,,74.37299347,,,
Not classified,,,,,,,,,,,
Ireland,,,,,,,,,,,
"Iran, Islamic Rep.",,83.62599182,84.62680054,84.70523834,,85.54425049,,,,,
Iraq,,77.19999695,72.69999695,82.19999695,,83.30000305,85.59999847,,,,
Iceland,,,,,,,,,,,
Israel,,,,,,,,,,,
Italy,98.84828186,,,,,,,99.15576172,,,
Jamaica,,,,88.09999847,,,,,,,
Jordan,95.90444946,97.89031982,,,,,,98.22711182,,,
Japan,,,,,,,,,,,
Kazakhstan,,,,,,,,99.78163147,,,
Kenya,,,,78.73303986,,,,81.53497314,,,
Kyrgyz Republic,,,,,,,,99.58599854,,,
Cambodia,,,,78.05509186,80.52648926,,,,,,
Kiribati,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,
Kuwait,,95.51316833,95.58582306,,95.68544769,,96.03594971,96.05647278,,96.45754242,
Latin America & Caribbean (excluding high income),92.01399994,92.23848724,92.31037903,92.76419067,92.95179749,93.42559052,93.57028198,93.72753143,94.17028046,94.33152771,
Lao PDR,58.28794098,,,,84.66104126,,,,,,
Lebanon,,,,,,,,95.06944275,,,
Liberia,,,,,,,48.30136108,,,,
Libya,,,,,,,,,,,
St. Lucia,,,,,,,,,,,
Latin America & Caribbean,92.23796082,92.46115875,92.50705719,92.94821167,93.13275146,93.59496307,93.70874786,93.86865997,94.29450989,94.45123291,
Least developed countries: UN classification,56.76771164,57.50632095,58.87498856,59.62564087,60.87612152,62.89241028,63.68294144,64.27587891,64.85780334,65.41577911,
Low income,56.16062164,56.63293839,57.62022018,58.02705002,58.5800209,59.28538895,60.10514832,60.49671173,60.95804977,61.3689003,
Liechtenstein,,,,,,,,,,,
Sri Lanka,,,,,,92.38690186,91.89575195,91.70982361,92.25296021,,
Lower middle income,70.71012115,71.58627319,72.10707092,72.8635788,73.63826752,74.35328674,75.00414276,75.431633,75.96756744,76.48845673,
Low & middle income,81.6724472,82.20670319,82.45152283,82.93345642,83.14720154,83.6880188,83.97683716,84.00708771,84.29309082,84.54367065,
Lesotho,,,,76.6352005,,,,,,,
Late-demographic dividend,95.12831879,95.30020142,95.36569977,95.53117371,95.6782608,95.87560272,96.01103973,96.15605927,96.34008026,96.47219849,
Lithuania,99.81559753,,,,,,,,,,
Luxembourg,,,,,,,,,,,
Latvia,99.89589691,,,,,,,99.88931274,,,
"Macao SAR, China",95.64003754,,,,,96.5384903,,,,,
St. Martin (French part),,,,,,,,,,,
Morocco,67.08415985,69.42539215,,75.5861969,,,,73.75000763,,,
Monaco,,,,,,,,,,,
Moldova,,,,99.3598938,,,,,,,
Madagascar,,71.57261658,,,,,,76.67967987,,,
Maldives,,,,98.61012268,,97.7349472,,,,,
Middle East & North Africa,77.26802063,79.89382172,79.69486237,81.14234161,79.43242645,80.45519257,81.52539825,78.98143005,79.31014252,79.64868164,
Mexico,93.51998138,94.22840118,93.96285248,94.55587769,94.47228241,94.85961914,94.97277832,95.37991333,,95.24784851,
Marshall Islands,98.26508331,,,,,,,,,,
Middle income,83.69687653,84.26535797,84.4799881,84.99931335,85.21755219,85.77729034,86.05455017,86.08866119,86.39626312,86.67131042,
North Macedonia,,,,97.80000305,,,,,,98.36357117,
Mali,30.61866951,,,,33.06888962,,,35.47377014,,30.76140976,
Malta,93.30735779,,,,,,,94.50318909,,,
Myanmar,,,,,,75.55120087,,,89.06994629,,
Middle East & North Africa (excluding high income),74.5091095,77.51190948,77.14050293,78.79463196,76.62332153,77.81655884,79.03476715,75.96434021,76.34240723,76.71839142,
Montenegro,98.44220734,,,,,,,98.84718323,,,
Mongolia,,,,,,,,98.42311859,,99.18327332,
Northern Mariana Islands,,,,,,,,,,,
Mozambique,,,,,56.03900146,,60.65542984,,,,
Mauritania,,,62.06874847,,,,53.49758911,,,,
Mauritius,89.24983978,91.76600647,91.49002838,92.47476196,92.70760345,93.15783691,,91.32539368,,,
Malawi,,,,65.14537048,62.14353943,,,,,,
Malaysia,,,,,,94.88057709,95.08264923,94.85440826,94.97113037,,
North America,,,,,,,,,,,
Namibia,88.27462769,,,,,,,91.52726746,,,
New Caledonia,,,,97.80000305,,,,,,,
Niger,,30.56039047,,,,,,35.04999924,,,
Nigeria,,,,,,,,62.01601028,,,
Nicaragua,,,,,82.61454773,,,,,,
Netherlands,,,,,,,,,,,
Norway,,,,,,,,,,,
Nepal,59.62725067,,,,,,,67.90843201,,,
Nauru,,,,,,,,,,,
New Zealand,,,,,,,,,,,
OECD members,,,,,,,,,,,
Oman,,,,91.98120117,93.03861237,94.89998627,95.5759964,95.6515274,,,
Other small states,82.19190979,82.44003296,82.88600159,83.30425262,84.69232178,84.61511993,84.82926178,85.06986237,85.36422729,85.63774872,
Pakistan,54.73802185,56.76433945,55.59498978,56.97714996,,,59.13204956,57.01057053,57.99885941,,
Panama,,,,,,,,95.41181183,95.73607635,,
Peru,,93.84172821,,93.70794678,94.16233826,94.17366791,94.14961243,94.40827179,,94.49793243,
Philippines,,,96.39800262,,98.18254852,,,,96.27816772,,
Palau,,,99.50312805,,96.59374237,,,,,,
Papua New Guinea,,,,,,,,,,,
Poland,,,,,,,,,,,
Pre-demographic dividend,56.30136108,58.8340683,59.53052902,60.59999847,59.66225052,61.96347046,62.92971039,62.00146866,62.55918121,63.07902908,
Puerto Rico,,,,,,,92.38999939,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,
Portugal,94.47705078,,,,,,,96.1375885,,,
Paraguay,,94.19747162,95.05903625,95.03481293,95.55484009,94.65023804,,94.02079773,93.21353149,94.54454803,
West Bank and Gaza,95.02581787,95.67101288,96.04602814,96.21292877,96.47711945,96.7191925,96.92440033,97.21861267,97.37825775,97.5144577,
Pacific island small states,90.68676758,90.79221344,90.8894577,90.94667816,91.01599121,91.14510345,91.27796936,91.29380798,,,
Post-demographic dividend,,,,,,,,,,,
French Polynesia,,,,,,,,,,,
Qatar,91.36408234,90.1700592,90.63298798,91.3272171,,93.14530182,93.46396637,,,,
Romania,98.60428619,,,,,,,98.84449768,,,
Russian Federation,,,,,,,,99.73005676,,,
Rwanda,,68.3310318,,70.80413055,,,,73.21559143,,,
South Asia,66.51319122,67.26777649,68.0131073,68.73478699,69.65734863,70.9991684,71.69515228,72.24388123,72.95144653,73.65451813,
Saudi Arabia,,,94.4263382,,,,95.32862854,,,97.58506775,
Sudan,,,,,,,,60.6971817,,,
Senegal,51.81454849,,43.53450012,,,,51.90042114,,,,
